,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,pet,elevation,EVI,NDVI,Land Surface Temperature,nir,green,swir16,swir22,NDMI,MNDWI,cec,clay,pH,phosphorous,flow_accumulation,skin_temperature,soil_temperature,temperature_2m,total_evaporation_sum,total_precipitation_sum,volumetric_soil_water,precipitation,cec_pH_interaction,phosphorous_pH_interaction,NDVI_LST_interaction,flow_acc_clay_interaction,flow_acc_phosphorous_interaction,evaporation_precipitation_ratio,cec_clay_ratio
0,128.912,555.0,10.0,174.2,167.15504030251765,241.0,636.0,15845.0,11190.0,11426.0,7687.5,7645.0,0.1855383392928079,0.1955947367044225,24.0,21.0,75.0,23.0,4131443.0,307.9198840459188,307.8334706624349,300.1986099878947,-8.535338565707207e-05,1.2934207518355834e-06,0.0087989171346028,0.4880241751670837,1800.0,1725.0,10077420.0,86760303.0,95023189.0,-37.21662742815851,1.1428570884353766
1,74.72,162.9,163.0,124.1,1521.2514933684313,4643.0,7656.0,15190.0,17658.5,9550.0,13746.5,10574.0,0.1245661518866418,-0.1801343549460211,27.0,29.0,65.0,21.0,11620.307692307691,293.6651086807251,294.39384746551514,292.44444338480633,-0.0041025858372449,0.0078298360108792,0.4589293797810873,97.3427562713623,1755.0,1365.0,116294640.0,336988.92307692306,244026.46153846153,-0.5239013856943591,0.9310344506539844
2,89.254,573.0,80.0,127.5,1471.37990245885,3984.0,6276.0,14879.0,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494,23.0,28.0,64.0,21.0,1.0,293.9729309082031,294.72552490234375,292.82803312937415,-0.0040103690698742,0.0069638252257764,0.3934981028238932,96.91149377822876,1472.0,1344.0,93380604.0,28.0,21.0,-0.5758032599342284,0.8214285420918378
3,82.0,203.6,101.0,129.7,1342.659997989344,2217.0,3957.0,15228.5,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852,23.0,26.0,65.0,22.0,18785.0,294.2801596323649,295.1667292912801,293.5092535018921,-0.0038953814655542,0.0072275429963042,0.4090181986490885,102.3076343536377,1495.0,1430.0,60259174.5,488410.0,413270.0,-0.5388888836306052,0.8846153505917173
4,56.1,145.1,151.0,129.2,1355.983661119515,4136.0,7396.0,15130.0,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826,25.0,28.0,64.0,20.0,4778.0,294.41470527648926,295.3040854136149,293.8909632364909,-0.0039094616658985,0.0049801498650481,0.4378150304158529,96.5138816833496,1600.0,1280.0,111901480.0,133784.0,95560.0,-0.7848512435513219,0.8928571109693889
5,82.2,289.8,192.0,98.6,1286.3013850975633,2182.0,4655.0,15101.5,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.0426722630290309,25.0,28.0,62.0,21.0,298975.4871794872,295.0895878473917,295.92047119140625,294.2975835800171,-0.0037036067806184,0.0047414473737319,0.3257354100545247,53.90557289123535,1550.0,1302.0,70297482.5,8371313.641025641,6278485.230769231,-0.780948419403119,0.8928571109693889
6,125.0,438.0,163.0,105.5,952.9018196771876,4073.0,6645.0,15036.5,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741,23.0,26.0,66.0,23.0,11929.153846153846,298.10443592071533,298.9894040425619,296.73584334055585,-0.0039521506987512,0.0038611695169379,0.3118791580200195,55.26789140701294,1518.0,1518.0,99917542.5,310158.0,274370.53846153844,-1.023298092281729,0.8846153505917173
7,116.62,568.0,69.0,103.700005,952.729121725732,4336.0,6149.0,14998.0,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.0072659031854489,23.0,27.0,65.0,22.0,46804.48717948717,297.80797513326013,298.82857735951745,296.5133498509725,-0.0038727251812815,0.0044876590370108,0.335852305094401,58.89425420761109,1495.0,1430.0,92222702.0,1263721.1538461538,1029698.7179487178,-0.8627799860379953,0.8518518203017844
8,181.831,583.0,158.0,111.8,911.9833849329206,2593.0,4889.0,15137.5,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377,24.0,27.0,65.0,23.0,3.0,298.85935942331946,299.7617019017537,297.182401339213,-0.0036022718995809,0.0049552261829326,0.4540974299112955,40.797502517700195,1560.0,1495.0,74007237.5,81.0,69.0,-0.7268174951308286,0.8888888559670793
9,196.0,452.0,158.0,98.200005,1281.3737230706993,1637.0,3511.0,15182.0,13683.0,10207.0,14011.5,11850.5,-0.0118615609597573,-0.1570906538390067,25.0,26.0,64.0,19.0,30946.0,295.0895878473917,295.92047119140625,294.2975835800171,-0.0037036067806184,0.0047414473737319,0.3257354100545247,56.82819747924805,1600.0,1216.0,53304002.0,804596.0,587974.0,-0.780948419403119,0.9615384245562144
