,EVI_median,NDVI_median,Latitude,Longitude,Sample Date
0,241.0,636.0,-28.760833,17.730278,2011-01-02
1,4643.0,7656.0,-26.861111,28.884722,2011-01-03
2,3984.0,6276.0,-26.45,28.085833,2011-01-03
3,2217.0,3957.0,-27.671111,27.236944,2011-01-03
4,4136.0,7396.0,-27.356667,27.286389,2011-01-03
5,2182.0,4655.0,-27.01011111,26.69808333,2011-01-04
6,4073.0,6645.0,-25.127778,27.628889,2011-01-04
7,4336.0,6149.0,-25.20639,27.558,2011-01-04
8,2593.0,4889.0,-24.69514,27.40906,2011-01-04
9,1637.0,3511.0,-26.98472222,26.63227778,2011-01-04
10,736.0,1849.0,-28.141944,26.417778,2011-01-04
11,3315.0,6050.0,-27.398611,26.614722,2011-01-04
12,2499.0,4409.0,-33.501667,21.624167,2011-01-04
13,2372.0,3113.0,-32.502778,19.535833,2011-01-04
14,3832.0,6898.0,-25.45963889,28.26430556,2011-01-04
15,4222.0,6060.0,-27.495556,26.074722,2011-01-04
16,4430.0,7488.0,-26.648056,27.089444,2011-01-05
17,2710.0,5147.0,-26.970278,27.211111,2011-01-05
18,1995.0,3686.0,-27.38972222,26.46388889,2011-01-05
19,3930.0,6863.0,-27.044444,27.005,2011-01-05
20,4219.0,6399.0,-30.830556,26.921389,2011-01-06
21,2907.5,5543.5,-27.00222,28.76528,2011-01-06
22,3382.5,5493.5,-27.02314,28.59389,2011-01-06
23,3870.5,6026.5,-30.679722,26.7125,2011-01-06
24,2402.5,4509.5,-30.160091,27.40124,2011-01-06
25,3199.0,4933.5,-32.595833,19.009444,2011-01-06
26,4003.0,6415.0,-25.99136,27.84208,2011-01-10
27,1945.5,4176.0,-26.73806,27.59194,2011-01-10
28,3854.0,6028.0,-26.45,28.085833,2011-01-10
29,3310.0,5590.0,-30.86013889,29.07125,2011-01-10
30,4210.0,7573.5,-27.356667,27.286389,2011-01-10
31,2159.0,4634.0,-27.01011111,26.69808333,2011-01-11
32,4150.5,6025.5,-25.73411,27.21422,2011-01-11
33,1946.0,4025.5,-26.98472222,26.63227778,2011-01-11
34,3207.5,5877.5,-27.398611,26.614722,2011-01-11
35,2438.0,4585.5,-27.671111,27.236944,2011-01-11
36,2400.5,4403.5,-29.160278,26.573333,2011-01-11
37,2581.0,4662.5,-34.250556,20.9925,2011-01-11
38,3769.0,6644.5,-25.45963889,28.26430556,2011-01-11
39,3448.0,5777.5,-25.81048333,27.90955222,2011-01-12
40,3736.5,5836.0,-27.273889,28.49,2011-01-12
41,2784.0,4581.5,-27.4275,28.525833,2011-01-12
42,3702.0,5557.0,-28.883333,27.89,2011-01-12
43,2907.5,5543.5,-27.00222,28.76528,2011-01-13
44,3382.5,5493.5,-27.02314,28.59389,2011-01-13
45,1937.0,3921.0,-30.534167,24.961944,2011-01-13
46,1852.0,3951.5,-28.460833,21.248889,2011-01-13
47,2634.5,3945.0,-29.658056,25.973333,2011-01-14
48,333.5,803.0,-28.760833,17.730278,2011-01-16
49,5786.0,8286.0,-25.513889,31.224444,2011-01-17
50,4643.0,7656.0,-26.861111,28.884722,2011-01-17
51,5505.0,8665.0,-31.554722,29.245556,2011-01-17
52,3137.0,4985.0,-28.058889,30.373611,2011-01-17
53,4357.0,6585.0,-25.127778,27.628889,2011-01-18
54,5325.0,8107.0,-25.20639,27.558,2011-01-18
55,4616.0,7118.0,-24.69514,27.40906,2011-01-18
56,3543.0,6220.0,-25.681111,31.783333,2011-01-18
57,2408.0,4972.0,-27.802778,28.768333,2011-01-18
58,3315.0,6050.0,-27.398611,26.614722,2011-01-18
59,3137.0,6418.0,-31.104278,29.399722,2011-01-18
60,2227.0,4308.0,-31.396,29.2651,2011-01-18
61,2113.0,3498.0,-33.38056,19.30167,2011-01-18
62,2154.0,4300.0,-33.31388889,19.07472222,2011-01-18
63,4222.0,6556.0,-27.495556,26.074722,2011-01-18
64,4182.0,6414.0,-24.39619444,27.08983333,2011-01-19
65,2710.0,5147.0,-26.970278,27.211111,2011-01-19
66,2117.0,5069.0,-26.880278,26.965,2011-01-19
67,3398.0,5743.0,-27.273889,28.49,2011-01-19
68,2370.0,4727.0,-27.3,28.586944,2011-01-19
69,3930.0,6969.0,-27.044444,27.005,2011-01-19
70,4049.0,7200.0,-30.568333,29.422778,2011-01-19
71,3725.0,6350.0,-30.570833,29.150556,2011-01-19
72,3422.0,5913.0,-34.031944,22.053333,2011-01-19
73,1797.0,2952.0,-33.13083,18.86278,2011-01-19
74,2642.0,4376.0,-33.7075,18.97444444,2011-01-19
75,4080.0,7375.0,-25.57877778,29.12747222,2011-01-19
76,2854.0,6221.0,-26.006389,29.253889,2011-01-20
77,3384.0,5701.0,-27.02314,28.59389,2011-01-20
78,4190.0,6338.0,-30.679722,26.7125,2011-01-20
79,1776.0,3933.0,-28.460833,21.248889,2011-01-20
80,3540.0,6389.0,-30.77586667,29.03221667,2011-01-20
81,4295.0,6321.0,-24.925278,29.324444,2011-01-21
82,1776.0,3933.0,-28.460833,21.248889,2011-01-21
83,4944.5,6795.5,-24.679167,30.8025,2011-01-24
84,4100.0,6259.5,-25.99136,27.84208,2011-01-24
85,5055.0,7687.5,-25.49037,30.6986,2011-01-24
86,3016.5,5629.5,-26.970278,27.211111,2011-01-24
87,2617.0,4943.5,-27.671111,27.236944,2011-01-24
88,4227.0,7573.5,-27.356667,27.286389,2011-01-24
89,2159.0,4634.0,-27.01011111,26.69808333,2011-01-25
90,1946.0,4025.5,-26.98472222,26.63227778,2011-01-25
91,3221.5,5877.5,-27.398611,26.614722,2011-01-25
92,3105.5,5162.5,-33.818056,19.694722,2011-01-25
93,3623.5,6644.5,-25.45963889,28.26430556,2011-01-25
94,2731.0,4310.0,-33.897778,20.012778,2011-01-25
95,3425.0,6262.0,-25.81048333,27.90955222,2011-01-26
96,2506.0,4474.5,-34.065833,20.404167,2011-01-26
97,2277.0,4321.5,-24.058889,31.237222,2011-01-26
98,4539.5,7296.0,-26.648056,27.089444,2011-01-26
99,2651.5,5379.0,-26.880278,26.965,2011-01-26
100,3595.5,6043.5,-27.273889,28.49,2011-01-26
101,3911.5,6916.0,-27.044444,27.005,2011-01-26
102,3568.5,5663.0,-34.092222,21.295278,2011-01-26
103,3056.0,5508.0,-27.02314,28.59389,2011-01-27
